"행정구역(시군구)별(1)",행정구역(시군구)별(2),2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,과세대상근로소득(총급여),과세대상근로소득(총급여),과세표준,과세표준,결정세액,결정세액
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"전국",소계,19167273,721686447,19074871,717531015,17102113,398689340,12112622,41101084
"서울",소계,3845841,164800618,3836212,163916825,3441286,98648176,2448702,13405669
"서울",강남구,209653,14926829,209360,14863887,191335,10618866,149796,2207827
"서울",강동구,183833,7447177,183504,7407086,164583,4268152,118169,469757
"서울",강북구,105025,3075447,104773,3058999,91856,1525316,59757,109023
"서울",강서구,245495,9178851,244918,9087948,220554,5019431,154557,482288
"서울",관악구,217483,6865539,216841,6830972,192332,3576033,125611,279490
"서울",광진구,145629,5495292,145146,5469408,129693,3125033,89250,357989
"서울",구로구,171843,5972692,171435,5943790,153847,3196597,106207,279869
"서울",금천구,98934,2973640,98708,2958726,87906,1501049,57612,103850
"서울",노원구,191248,7206570,190624,7165622,170381,3915063,120204,368243
"서울",도봉구,118771,3797517,118459,3776964,103389,1963299,69443,162934
"서울",동대문구,125149,4357428,124535,4333325,110152,2358385,75950,217507
"서울",동작구,163292,6661784,162746,6627712,146294,3864194,104044,442282
"서울",마포구,156129,7296518,155708,7256814,139819,4501078,102705,622419
"서울",서대문구,121106,4982198,120695,4951826,107729,2903893,76931,344250
"서울",서초구,168901,12021965,168577,11969079,154937,8503332,122049,1720357
"서울",성동구,117651,5431210,117425,5403559,106032,3344887,77747,466910
"서울",성북구,155845,6132023,155413,6096249,137708,3484727,96351,411337
"서울",송파구,280758,14203992,280281,14132599,254867,8985165,190097,1346542
"서울",양천구,175717,8042926,175324,7994256,158055,4847355,115304,644955
"서울",영등포구,170948,7398345,170673,7361189,154535,4413931,113350,545297
"서울",용산구,92859,5822661,92706,5800844,83865,4110203,62844,861572
"서울",은평구,183936,6343267,183408,6306182,163526,3371416,111229,303023
"서울",종로구,52689,2566206,52543,2551645,46744,1649953,33849,277468
"서울",중구,47280,2184474,47160,2173922,42216,1390966,30661,224234
"서울",중랑구,145667,4416068,145250,4394220,128931,2209852,84985,156250
"인천",소계,1145602,38615008,1141512,38385344,1018652,20064328,708814,1646243
"인천",강화군,18457,580350,18228,576903,16117,300308,11065,24112
"인천",계양구,116028,3465097,115518,3444659,102338,1707440,68751,110900
"인천",미추홀구,149099,4321603,148371,4297516,130954,2093141,86919,126877
"인천",남동구,206416,6728459,205796,6691258,183245,3433285,126261,257774
"인천",동구,22310,667824,22251,664408,20001,324803,13613,18639
"인천",부평구,189424,6012506,188839,5978749,168575,3037400,115201,217980
"인천",서구,220757,7561718,220075,7513088,197561,3909566,138397,314061
"인천",연수구,157315,6987847,156898,6944424,140822,4073275,106012,485856
"인천",옹진군,6719,253660,6618,252040,6046,134889,4812,10471
"인천",중구,59077,2035945,58918,2022298,52993,1050223,37783,79573
"경기",소계,5358357,203302793,5338294,202281374,4800424,112256590,3429400,11387758
"경기",가평군,18537,585249,18403,582770,16190,301882,11232,24938
"경기",고양시,412968,16057004,411674,15952594,367693,8946114,260149,957210
"경기",과천시,24757,1426949,24638,1419235,22417,929127,17688,144854
"경기",광명시,120421,4544906,119938,4523196,108020,2485130,76316,237863
"경기",광주시,155348,4901478,154704,4877284,138611,2473886,94711,186435
"경기",구리시,72780,2547881,72567,2536566,64632,1341595,44437,117050
"경기",군포시,115454,4302875,115068,4281940,103838,2335749,73712,213657
"경기",김포시,191698,6882406,190841,6827048,172306,3622098,122313,311109
"경기",남양주시,248027,8253413,247227,8212193,218989,4235971,147443,354679
"경기",동두천시,32209,896988,32035,891626,28200,427435,18957,24035
"경기",부천시,325798,10659954,324619,10601549,289866,5485248,197833,437828
"경기",성남시,386583,18538439,385745,18448794,349187,11550190,257017,1731067
"경기",수원시,496446,20619713,494957,20537329,446262,11831641,326595,1295672
"경기",시흥시,217213,6973752,215965,6939565,194313,3490704,134899,230011
"경기",안산시,272667,8730999,271719,8691711,242577,4467898,168548,322655
"경기",안성시,75088,2403732,74551,2392536,67291,1228522,48508,83118
"경기",안양시,225747,8979071,225103,8933463,203392,5036368,146554,515814
"경기",양주시,86200,2524391,85886,2509595,76356,1218491,51919,74898
"경기",양평군,32497,1165650,32329,1159961,28687,638829,19971,70755
"경기",여주시,37666,1173776,37318,1168496,33607,597589,23504,43370
"경기",연천군,13959,433135,13626,430090,12288,215074,9028,13298
"경기",오산시,98384,3407873,98039,3393367,88236,1771600,62366,134629
"경기",용인시,422411,19243442,420491,19145308,379469,11389259,282289,1427213
"경기",의왕시,67117,2742592,66915,2728426,60483,1556294,43429,169982
"경기",의정부시,164586,4981198,164038,4955699,144818,2436056,96442,161101
"경기",이천시,90337,3696189,90064,3681619,82083,2154145,61803,238741
"경기",파주시,181781,6263100,181026,6226763,163364,3224031,115385,248977
"경기",평택시,211984,7667941,211275,7632884,190167,4083876,139682,323332
"경기",포천시,59835,1660586,59251,1648956,53221,821444,38040,48518
"경기",하남시,117413,4527216,117128,4504521,105223,2495418,73972,251737
"경기",화성시,382446,16510895,381154,16446290,348638,9464925,264658,993213
"강원",소계,504341,17144070,500939,17032439,448171,8841082,322179,682581
"강원",강릉시,69500,2295783,69138,2283387,61362,1185759,42788,95898
"강원",고성군,7632,238074,7608,237063,6803,120149,4975,8717
"강원",동해시,28990,1050923,28839,1040199,26046,548588,19209,42953
"강원",삼척시,19514,688283,19416,681878,17285,359761,12696,27471
"강원",속초시,26893,849218,26824,844523,23938,422676,16895,29878
"강원",양구군,6976,248689,6953,247463,6436,125989,5018,8408
"강원",양양군,7591,241292,7474,239758,6683,122946,4780,9118
"강원",영월군,10545,366953,10517,363565,9395,191603,6904,14911
"강원",원주시,126864,4380867,126321,4357555,112978,2277983,80575,181615
"강원",인제군,10535,371500,10436,369506,9485,189562,7415,13516
"강원",정선군,10894,360452,10875,355050,9647,182196,6995,12392
"강원",철원군,13298,450611,13236,448175,12051,223930,9080,14183
"강원",춘천시,99263,3468477,98492,3449535,88679,1802711,63287,143011
"강원",태백시,14158,514446,14125,505102,12646,267592,9297,20016
"강원",평창군,11146,336183,10855,334652,9233,173913,6424,15548
"강원",홍천군,19527,616392,19131,612430,17046,312091,12273,22568
"강원",화천군,8608,294009,8422,292514,7582,147741,5978,9663
"강원",횡성군,12407,371919,12277,370083,10876,185889,7590,12715
"대전",소계,543143,19967252,540311,19831575,481804,10807655,336156,1001190
"대전",대덕구,64126,2008626,63723,1998174,56679,1017723,38607,70711
"대전",동구,73886,2187221,73428,2174947,64324,1072332,42591,69731
"대전",서구,181012,6544804,180258,6505297,160628,3498287,111138,310571
"대전",유성구,143730,6603505,142885,6544625,129538,3863694,96117,440656
"대전",중구,80389,2623096,80017,2608531,70635,1355620,47703,109522
"충북",소계,598668,21245307,594424,21135532,536870,11365572,392628,952049
"충북",괴산군,10145,302544,9797,300533,8611,155004,6111,11217
"충북",단양군,8151,253589,7978,252337,7147,128583,5044,8593
"충북",보은군,8766,256171,8696,255107,7311,130337,5141,9299
"충북",영동군,12352,382836,12012,380372,10575,193667,7376,13330
"충북",옥천군,14796,447095,14475,444398,12936,223162,8808,14826
"충북",음성군,41551,1277337,41319,1269831,37859,657648,28227,39987
"충북",제천시,42278,1398072,41888,1390749,37736,720345,26854,52936
"충북",증평군,14332,470351,14199,466422,12851,236443,9496,14994
"충북",진천군,38125,1248511,37664,1240756,34606,643779,25680,41939
"충북",청주시,335500,12794089,334199,12733063,301943,7045387,223325,658554
"충북",충주시,72672,2414711,72197,2401962,65295,1231217,46566,86372
"충남",소계,755799,27671440,749241,27544099,675280,14908592,495518,1251852
"충남",계룡시,15329,693988,15256,688507,13901,385090,10666,36416
"충남",공주시,32319,1032997,32016,1027820,28430,529492,19976,37865
"충남",금산군,12988,393318,12888,391433,11415,198777,7803,13340
"충남",논산시,34018,1034538,33589,1027604,29743,515798,20524,33504
"충남",당진시,61268,2306354,60564,2297658,55290,1239927,42002,95129
"충남",보령시,31056,1011389,30506,1004894,26849,526766,19108,40693
"충남",부여군,16198,475413,15828,472561,13567,238700,9246,15863
"충남",서산시,60931,2499509,60369,2489720,54850,1406515,41948,137092
"충남",서천군,12387,402271,12178,400167,10865,208754,7613,15056
"충남",아산시,128723,5012543,128146,4992938,116188,2761708,87050,244309
"충남",예산군,23117,703036,22576,699529,20187,358834,14319,23254
"충남",천안시,272761,10302347,271579,10256880,245925,5607528,180742,490863
"충남",청양군,7610,235160,7455,234210,6590,120355,4756,8310
"충남",태안군,15511,509431,15050,506578,13356,267615,9542,21460
"충남",홍성군,31583,1059146,31241,1053601,28124,542735,20223,38698
"세종",소계,143648,6352334,143285,6303869,130568,3485864,100430,325721
"광주",소계,522020,18431140,519376,18328158,464736,9745092,318565,873191
"광주",광산구,157345,5474694,156381,5443628,140577,2832003,96282,226133
"광주",남구,72046,2673078,71686,2657386,64318,1447296,44328,145904
"광주",동구,34291,1247189,34098,1240239,30286,677066,21230,67896
"광주",북구,150778,5024059,150145,4995362,133862,2590134,90448,209575
"광주",서구,107560,4012119,107066,3991543,95693,2198593,66277,223684
"전북",소계,566545,19057443,561822,18958583,501916,9883421,342547,762380
"전북",고창군,12082,380465,12010,378354,10768,192163,7169,13258
"전북",군산시,86597,2967283,86011,2951252,76870,1539398,53497,116736
"전북",김제시,22560,641577,22254,637659,19262,316693,12843,19228
"전북",남원시,21446,639372,20875,635900,18505,316595,12144,20943
"전북",무주군,6091,181302,6026,180322,5278,88777,3454,5588
"전북",부안군,12395,360769,12116,358681,10625,176973,7034,10793
"전북",순창군,6748,211619,6576,210561,5831,106354,3878,7173
"전북",완주군,28222,943379,27880,939242,25026,488714,16992,35231
"전북",익산시,91489,2926014,90300,2906233,80911,1483622,54397,105728
"전북",임실군,6740,208994,6697,207834,5894,104186,3968,6615
"전북",장수군,5277,158414,5215,157814,4540,78746,2971,5122
"전북",전주시,230833,8334167,230229,8297451,206663,4440697,142968,381014
"전북",정읍시,29918,914549,29696,908709,26415,454980,17681,28642
"전북",진안군,6147,189541,5937,188571,5328,95522,3551,6310
"전남",소계,543939,19190602,538188,19068531,480447,10177355,332827,872991
"전남",강진군,8103,254427,8071,253228,7092,127872,4700,8655
"전남",고흥군,12329,363292,12077,360788,10593,179229,6915,11770
"전남",곡성군,6933,227809,6817,226656,6067,117444,4210,8875
"전남",광양시,53016,2200508,52773,2188822,47685,1233963,35280,120211
"전남",구례군,6416,191378,6166,190333,5456,95315,3602,6292
"전남",나주시,38318,1284259,37654,1274656,33419,656497,23260,48347
"전남",담양군,13252,419001,12796,415455,11382,216972,7942,16897
"전남",목포시,69030,2171770,68778,2155579,61100,1075729,39705,76260
"전남",무안군,25722,928691,25561,922868,22883,478249,16001,36423
"전남",보성군,8562,258333,8352,256888,7292,129679,4791,8969
"전남",순천시,93636,3560435,93041,3539796,83757,1925704,58909,175307
"전남",신안군,7408,241732,7376,240212,6485,122268,4461,8252
"전남",여수시,89624,3618948,89243,3596133,80158,2062945,57157,224384
"전남",영광군,13895,479495,13523,476738,12086,255431,8464,21381
"전남",영암군,18152,533203,18044,530040,15721,267905,10681,16616
"전남",완도군,10012,311826,9969,308429,8848,155934,5884,10550
"전남",장성군,13286,435066,13015,431838,11725,223238,8324,16081
"전남",장흥군,8525,272704,8498,271175,7554,136978,5037,9209
"전남",진도군,5920,184498,5904,183824,5214,91517,3461,5848
"전남",함평군,7691,238361,7585,236798,6729,121126,4408,8897
"전남",해남군,15337,451975,14648,449556,12882,224185,8690,15244
"전남",화순군,18772,562893,18297,558721,16319,279178,10945,18523
"대구",소계,819145,28450839,815306,28289589,728783,14946951,500036,1340895
"대구",남구,43371,1224202,43151,1216357,37679,600281,24214,41898
"대구",달서구,199681,6910886,198681,6872376,178267,3609037,122973,306914
"대구",달성군,96979,3221430,96448,3203203,87126,1596673,60015,104535
"대구",동구,113389,3668489,112930,3644834,100488,1843412,67931,136333
"대구",북구,150514,4818444,149739,4791480,133501,2403460,89406,173508
"대구",서구,52784,1371093,52542,1361282,46333,637640,30067,31406
"대구",수성구,137431,6366481,136911,6334978,123259,3794309,90474,503693
"대구",중구,24996,869814,24904,865078,22130,462138,14956,42608
"경북",소계,829463,29217923,818975,29049958,733945,15474611,522581,1274689
"경북",경산시,90529,2806769,89370,2787448,79090,1393444,53665,94385
"경북",경주시,85577,3042110,84563,3025166,76003,1637388,55008,137905
"경북",고령군,9085,266341,9058,264650,8115,134305,5631,8417
"경북",구미시,157096,5975838,156252,5944318,141866,3229758,102586,277346
"경북",군위군,5605,177992,5411,176792,4835,93222,3383,6911
"경북",김천시,43594,1538390,43189,1530851,38731,810046,27291,63406
"경북",문경시,19031,579522,18737,576047,16412,292258,11128,21341
"경북",봉화군,6507,205071,6424,203660,5722,103737,4037,7138
"경북",상주시,23749,735757,23071,732167,20564,371920,14105,25574
"경북",성주군,11254,313327,10534,310838,9175,160317,6347,10918
"경북",안동시,46148,1558516,45661,1551593,40852,808174,29070,62472
"경북",영덕군,7549,217828,7235,216066,6324,108202,4209,7449
"경북",영양군,3376,107190,3170,106666,2814,54662,2038,3775
"경북",영주시,27741,945607,27288,940145,24342,497060,17177,39203
"경북",영천시,30066,928587,29817,923191,26451,471611,18496,31924
"경북",예천군,14275,509590,13832,507222,12420,263419,9033,20226
"경북",울릉군,2892,109980,2885,109093,2670,58851,1964,4470
"경북",울진군,13335,505865,12996,501887,11720,281270,8811,25691
"경북",의성군,10966,307554,10328,305736,8968,153585,6193,9792
"경북",청도군,10044,307358,9842,305176,8695,159480,5841,13454
"경북",청송군,5570,160378,5381,159600,4396,80313,3040,5358
"경북",칠곡군,41089,1336101,40550,1326958,36433,679851,25501,46362
"경북",포항시,164385,6582253,163381,6544690,147347,3631741,108027,351174
"부산",소계,1174336,40995231,1169382,40580086,1037342,21774073,706790,2063929
"부산",강서구,54772,2083924,54497,2067269,49278,1113461,35645,95834
"부산",금정구,77707,2828261,77220,2804427,68728,1548230,47610,158805
"부산",기장군,57961,2005187,57811,1983037,51046,1029225,34585,82442
"부산",남구,88621,3331402,88265,3297656,78581,1821750,53959,194073
"부산",동구,29570,846909,29426,834470,25120,412888,16292,28153
"부산",동래구,93747,3505108,93363,3474530,83515,1891697,57978,183699
"부산",부산진구,123188,3980138,122525,3943876,108545,2036704,72355,167211
"부산",북구,101825,3393528,101427,3366160,90603,1745370,61968,138570
"부산",사상구,78534,2278984,78191,2257492,69108,1101684,45921,64505
"부산",사하구,115200,3541757,114760,3502198,100930,1757344,67032,120943
"부산",서구,33847,1097302,33705,1079637,29498,564628,19949,47401
"부산",수영구,61121,2137472,60927,2115007,54222,1146694,36281,113461
"부산",연제구,72631,2638105,72371,2615947,64709,1407720,44550,131132
"부산",영도구,35413,1044153,35235,1015583,30741,506602,19842,34699
"부산",중구,13493,342779,13401,333935,11383,159568,7113,9387
"부산",해운대구,136706,5940223,136258,5888863,121335,3530509,85710,493615
"울산",소계,427549,18696556,426417,18601340,387231,10818519,290668,1151134
"울산",남구,120003,5540033,119668,5514686,108772,3305365,82676,390666
"울산",동구,60668,2468514,60527,2449912,55074,1364129,40754,122777
"울산",북구,87723,4078250,87527,4060893,80279,2371353,61215,246694
"울산",울주군,82086,3271785,81870,3253378,73789,1832767,54399,179408
"울산",중구,77069,3337974,76825,3322470,69317,1944905,51624,211588
"경남",소계,1155835,41161201,1150215,40889573,1031342,21707428,726271,1791606
"경남",거제시,92590,3523240,92220,3507377,82370,1902655,57870,158923
"경남",거창군,15525,506286,15346,503768,13839,258268,9500,18540
"경남",고성군,13147,386735,12970,383880,11170,192739,7444,12717
"경남",김해시,208421,7131400,207794,7085715,186497,3673956,129362,281721
"경남",남해군,9333,283061,9299,279642,8042,141572,5300,10684
"경남",밀양시,30131,928402,29652,922418,25890,475826,17666,34475
"경남",사천시,36453,1317790,36261,1309393,32461,714311,22867,62753
"경남",산청군,7961,244865,7805,243153,6908,125647,4629,9176
"경남",양산시,129518,4336766,128692,4303629,115372,2186383,79849,155478
"경남",의령군,6874,214082,6829,212879,6104,108517,4318,6817
"경남",진주시,116342,4317240,115892,4292197,103809,2323994,73419,211095
"경남",창녕군,17640,541708,17491,538407,15464,276145,10836,18200
"경남",창원시,386520,14785688,385449,14682369,349011,7995228,252407,718315
"경남",통영시,35192,1061085,34989,1051438,30541,520524,20007,35258
"경남",하동군,9750,307109,9635,305172,8475,156573,5755,11186
"경남",함안군,21884,696932,21520,692188,19246,360068,13770,26037
"경남",함양군,9343,288482,9307,286992,8011,147031,5566,10284
"경남",합천군,9211,290330,9064,288954,8132,147990,5706,9948
"제주",소계,225998,7297193,225382,7266684,200482,3748591,136871,314130
"제주",제주시,171469,5584793,171144,5562873,152621,2862584,104244,235874
"제주",서귀포시,54529,1712400,54238,1703811,47861,886007,32627,78256
"기타",소계,7044,89495,5590,67458,2834,35441,1639,3077
